operation,file_size_mb,client_pool_size,server_pool_size,executor_type,success_count,fail_count,avg_duration,median_duration,min_duration,max_duration,avg_throughput,median_throughput,min_throughput,max_throughput,timestamp
upload,10,1,1,thread,1,0,0.27387142181396484,0.27387142181396484,0.27387142181396484,0.27387142181396484,38287163.846992254,38287163.846992254,38287163.846992254,38287163.846992254,2025-05-24 13:25:29
upload,10,5,1,thread,5,0,0.3551156044006348,0.3558695316314697,0.23670315742492676,0.4718177318572998,31330210.949227832,29465180.54503978,22224175.337207112,44299197.83949517,2025-05-24 13:25:30
upload,10,50,1,thread,50,0,2.541041874885559,2.544681429862976,1.4220168590545654,3.5468380451202393,4410054.230594047,4121080.715120044,2956368.4235389237,7373864.756407674,2025-05-24 13:25:34
upload,50,1,1,thread,1,0,1.302541732788086,1.302541732788086,1.302541732788086,1.302541732788086,40251147.95191732,40251147.95191732,40251147.95191732,40251147.95191732,2025-05-24 13:25:35
upload,50,5,1,thread,5,0,3.2082207202911377,3.1805975437164307,1.581223726272583,4.853749513626099,19098625.604132887,16483946.579025071,10801711.1004214,33157104.291364484,2025-05-24 13:25:40
upload,50,50,1,thread,50,0,44.725076947212216,45.43281447887421,25.122043132781982,61.412267208099365,1252870.9610004304,1154097.970669882,853718.684938657,2086964.0149445164,2025-05-24 13:26:50
upload,100,1,1,thread,1,0,5.185695171356201,5.185695171356201,5.185695171356201,5.185695171356201,20220548.361421883,20220548.361421883,20220548.361421883,20220548.361421883,2025-05-24 13:26:55
upload,100,5,1,thread,5,0,11.013314580917358,11.22234582901001,4.676232099533081,16.809040307998657,11696999.500170447,9343643.619406275,6238166.96721841,22423523.419735726,2025-05-24 13:27:12
upload,100,50,1,thread,50,0,144.57124145030974,154.20031476020813,66.40151000022888,196.93658757209778,791781.8478697785,680101.0981182184,532443.4697113456,1579144.8116110396,2025-05-24 13:31:11
download,10,1,1,thread,1,0,0.09748530387878418,0.09748530387878418,0.09748530387878418,0.09748530387878418,107562469.24191028,107562469.24191028,107562469.24191028,107562469.24191028,2025-05-24 13:31:34
download,10,5,1,thread,5,0,0.22053017616271972,0.2169818878173828,0.07940053939819336,0.36697888374328613,62769080.192726776,48325508.20474504,28573197.163396288,132061571.36306038,2025-05-24 13:31:35
download,10,50,1,thread,50,0,1.7706567859649658,1.7544482946395874,0.08258795738220215,3.5281245708465576,13665558.55252174,5978717.8814126365,2972049.2543391087,126964757.72458927,2025-05-24 13:31:38
download,50,1,1,thread,1,0,0.684063196182251,0.684063196182251,0.684063196182251,0.684063196182251,76643211.17201531,76643211.17201531,76643211.17201531,76643211.17201531,2025-05-24 13:31:40
download,50,5,1,thread,5,0,1.6362019062042237,1.647535800933838,0.64424729347229,2.6019439697265625,40676497.49311797,31822555.825665757,20149857.41814791,81379930.55030976,2025-05-24 13:31:44
download,50,50,1,thread,50,0,12.806464300155639,12.924648523330688,0.6871328353881836,25.195965051651,8542313.786528317,4057811.863774715,2080841.1145404621,76300821.76233257,2025-05-24 13:32:10
download,100,1,1,thread,1,0,1.7826299667358398,1.7826299667358398,1.7826299667358398,1.7826299667358398,58821854.20230759,58821854.20230759,58821854.20230759,58821854.20230759,2025-05-24 13:32:17
download,100,5,1,thread,5,0,4.9730833053588865,4.875801086425781,1.7745230197906494,8.26582384109497,28126332.239085555,21505717.346001524,12685680.461599283,59090583.120398544,2025-05-24 13:32:29
download,100,50,1,thread,50,0,46.10561511993408,45.15147256851196,1.9368410110473633,94.45995140075684,5265755.170012497,2323289.079064549,1110074.6765698616,54138465.36804658,2025-05-24 13:34:07
